"STATE","FATAL_COUNT","TOTAL_COUNT"
"1","1","732"
"1","2","40"
"1",">2","11"
"10","1","118"
"10","2","4"
"11","1","23"
"12","1","2516"
"12","2","147"
"12",">2","36"
"13","1","1241"
"13","2","74"
"13",">2","12"
"15","1","80"
"15","2","4"
"15",">2","2"
"16","1","182"
"16","2","14"
"16",">2","2"
"17","1","840"
"17","2","67"
"17",">2","7"
"18","1","703"
"18","2","45"
"18",">2","8"
"19","1","251"
"19","2","27"
"19",">2","4"
"2","1","56"
"2","2","3"
"2",">2","1"
"20","1","293"
"20","2","25"
"20",">2","4"
"21","1","647"
"21","2","35"
"21",">2","12"
"22","1","634"
"22","2","32"
"22",">2","8"
"23","1","135"
"23","2","7"
"23",">2","2"
"24","1","439"
"24","2","28"
"24",">2","5"
"25","1","276"
"25","2","15"
"26","1","831"
"26","2","55"
"26",">2","7"
"27","1","341"
"27","2","33"
"27",">2","1"
"28","1","543"
"28","2","51"
"28",">2","10"
"29","1","743"
"29","2","53"
"29",">2","6"
"30","1","189"
"30","2","10"
"30",">2","5"
"31","1","195"
"31","2","20"
"31",">2","3"
"32","1","271"
"32","2","21"
"32",">2","4"
"33","1","94"
"33","2","7"
"33",">2","2"
"34","1","486"
"34","2","32"
"34",">2","4"
"35","1","244"
"35","2","23"
"35",">2","2"
"36","1","987"
"36","2","48"
"36",">2","11"
"37","1","1189"
"37","2","72"
"37",">2","14"
"38","1","96"
"38","2","10"
"38",">2","5"
"39","1","958"
"39","2","63"
"39",">2","8"
"4","1","747"
"4","2","48"
"4",">2","15"
"40","1","542"
"40","2","38"
"40",">2","8"
"41","1","381"
"41","2","27"
"41",">2","4"
"42","1","1021"
"42","2","65"
"42",">2","16"
"44","1","37"
"44","2","4"
"45","1","859"
"45","2","40"
"45",">2","10"
"46","1","103"
"46","2","7"
"46",">2","5"
"47","1","826"
"47","2","48"
"47",">2","10"
"48","1","2840"
"48","2","213"
"48",">2","71"
"49","1","238"
"49","2","16"
"49",">2","2"
"5","1","428"
"5","2","34"
"5",">2","10"
"50","1","44"
"50","2","5"
"50",">2","1"
"51","1","673"
"51","2","34"
"51",">2","4"
"53","1","480"
"53","2","26"
"53",">2","10"
"54","1","227"
"54","2","16"
"54",">2","3"
"55","1","484"
"55","2","35"
"55",">2","4"
"56","1","115"
"56","2","12"
"56",">2","2"
"6","1","2725"
"6","2","164"
"6",">2","36"
"8","1","472"
"8","2","29"
"8",">2","5"
"9","1","240"
"9","2","13"
